I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
9, -78, -87, 34, 48, -82, 58, 48, 58, 19, 0, 48, 
9, -78, -87, 34, 48, -82, 58, 48, 58, 19, 0, 48, 
9, -78, -87, 34, 48, -82, 58, 48, 58, 19, 0, 48, 
9, -78, -87, 34, 48, -82, 58, 48, 58, 19, 0, 48, 
0, -87, -87, 43, 43, -87, 68, 48, 68, 19, 9, 53, 
0, -87, -87, 43, 43, -87, 68, 48, 68, 19, 9, 58, 
0, -87, -87, 43, 43, -87, 68, 48, 68, 19, 9, 63, 
0, -87, -87, 43, 43, -87, 68, 48, 68, 19, 9, 68, 
-9, -78, -68, 43, 29, -73, 68, 48, 58, 29, 0, 58, 
-9, -78, -68, 43, 29, -73, 68, 48, 58, 29, 0, 58, 
-9, -78, -68, 43, 29, -73, 68, 48, 58, 29, 0, 58, 
-9, -78, -68, 43, 29, -73, 68, 48, 58, 29, 0, 58, 
-19, -87, -68, 53, 24, -78, 58, 48, 58, 29, -4, 58, 
-19, -87, -68, 53, 24, -78, 58, 48, 58, 29, -9, 58, 
-19, -87, -68, 53, 24, -78, 58, 48, 58, 29, -14, 58, 
-19, -87, -68, 53, 24, -78, 58, 48, 58, 29, -19, 58, 
-19, -97, -78, 58, 29, -87, 48, 58, 58, 34, -29, 68, 
-19, -97, -78, 58, 29, -87, 48, 58, 58, 39, -29, 68, 
-19, -97, -78, 58, 29, -87, 48, 58, 58, 43, -29, 68, 
-19, -97, -78, 58, 29, -87, 48, 58, 58, 48, -29, 68, 
-4, -97, -92, 51, 43, -95, 48, 48, 58, 48, -19, 63, 
0, -97, -97, 48, 48, -97, 48, 48, 53, 48, -14, 58, 
4, -97, -102, 46, 53, -100, 48, 48, 53, 48, -14, 53, 
24, -92, -117, 34, 70, -104, 43, 48, 53, 48, -14, 48, 
4, -82, -87, 39, 46, -85, 43, 48, 53, 34, -24, 48, 
4, -82, -87, 39, 46, -85, 48, 48, 53, 24, -39, 48, 
-4, -82, -78, 43, 36, -80, 53, 48, 58, 19, -53, 48, 
-4, -82, -78, 43, 36, -80, 53, 48, 58, 9, -68, 48, 
-14, -82, -68, 48, 26, -75, 53, 43, 48, 14, -73, 39, 
-14, -82, -68, 48, 26, -75, 53, 43, 48, 24, -78, 39, 
-14, -78, -63, 46, 24, -70, 53, 43, 48, 39, -78, 39, 
-14, -63, -48, 39, 17, -56, 53, 43, 53, 48, -82, 39, 
-24, -73, -48, 48, 12, -61, 53, 39, 53, 48, -82, 34, 
-34, -82, -48, 58, 7, -65, 53, 29, 48, 48, -87, 29, 
-39, -82, -43, 61, 2, -63, 53, 29, 48, 48, -97, 24, 
